view_id,view_name,content_url,workbook_id,workbook_name,project_name
98ed67dc-d1f0-440d-a390-8a2f4406316a,ClientesAtendidosHoraCC,CX_Wise_Chats_EC-PE-UY/sheets/ClientesAtendidosHoraCC,c75dfa7c-120f-482b-8955-ba6e979a2fc5,CX_Wise_Chats_EC/PE/UY,CX Wise Chat OUT
0b6ecbe5-4c30-4162-a9a7-793617f4a1c0,ClientesAtendidosHoraSC,CX_Wise_Chats_EC-PE-UY/sheets/ClientesAtendidosHoraSC,c75dfa7c-120f-482b-8955-ba6e979a2fc5,CX_Wise_Chats_EC/PE/UY,CX Wise Chat OUT
70763557-d4f4-48e2-9e2d-c6ac6250f000,Evolucion Cola General,CX_Wise_Chats_EC-PE-UY/sheets/EvolucionColaGeneral,c75dfa7c-120f-482b-8955-ba6e979a2fc5,CX_Wise_Chats_EC/PE/UY,CX Wise Chat OUT
9ff506e1-add6-4fd1-a9fe-e2fa937146f9,Fichadas General,CX_Wise_Chats_EC-PE-UY/sheets/FichadasGeneral,c75dfa7c-120f-482b-8955-ba6e979a2fc5,CX_Wise_Chats_EC/PE/UY,CX Wise Chat OUT
030b87d4-1f5f-4149-a929-f5ce6f55b69f,Flujo de casos,CX_Wise_Chats_EC-PE-UY/sheets/Flujodecasos,c75dfa7c-120f-482b-8955-ba6e979a2fc5,CX_Wise_Chats_EC/PE/UY,CX Wise Chat OUT
a29fa586-c5cd-4a73-90c1-732607a37bbd,ResumenActividad General,CX_Wise_Chats_EC-PE-UY/sheets/ResumenActividadGeneral,c75dfa7c-120f-482b-8955-ba6e979a2fc5,CX_Wise_Chats_EC/PE/UY,CX Wise Chat OUT
a7b4fd72-7daf-4cf0-be2a-4c89f755ff94,ResumenGeneral,CX_Wise_Chats_EC-PE-UY/sheets/ResumenGeneral,c75dfa7c-120f-482b-8955-ba6e979a2fc5,CX_Wise_Chats_EC/PE/UY,CX Wise Chat OUT
36efba1e-69e2-4c84-a423-32747a1b4fe3,Tiempo interaccion,CX_Wise_Chats_EC-PE-UY/sheets/Tiempointeraccion,c75dfa7c-120f-482b-8955-ba6e979a2fc5,CX_Wise_Chats_EC/PE/UY,CX Wise Chat OUT
274b4ecf-5b29-41f8-92df-6d48756b0409,Alerta asignacion-General,CX_Wise_Chats_MX-COV2/sheets/Alertaasignacion-General,9e570532-759d-4404-b7b3-fddcec93f33f,CX_Wise_Chats_MX/CO,CX Wise Chat OUT
46891ed6-60e3-4156-a1ed-a1a3eacc5cea,Casos Cerrados General,CX_Wise_Chats_MX-COV2/sheets/CasosCerradosGeneral,9e570532-759d-4404-b7b3-fddcec93f33f,CX_Wise_Chats_MX/CO,CX Wise Chat OUT
c26f4140-12e1-4ca3-923d-303a300948a8,Cierre de turno,CX_Wise_Chats_MX-COV2/sheets/Cierredeturno,9e570532-759d-4404-b7b3-fddcec93f33f,CX_Wise_Chats_MX/CO,CX Wise Chat OUT
8de1dda2-4bbe-4f24-9211-33ba8fd9c48d,ClientesAtendidosHoraCC,CX_Wise_Chats_MX-COV2/sheets/ClientesAtendidosHoraCC,9e570532-759d-4404-b7b3-fddcec93f33f,CX_Wise_Chats_MX/CO,CX Wise Chat OUT
5da242c1-b3b8-45a9-ae33-ec5886c7dcb8,ClientesAtendidosHoraSC,CX_Wise_Chats_MX-COV2/sheets/ClientesAtendidosHoraSC,9e570532-759d-4404-b7b3-fddcec93f33f,CX_Wise_Chats_MX/CO,CX Wise Chat OUT
